Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 3,Male,Avalon Lakes Golf Club,Qualifying,7,4,4,Hit,Hit,101-125 yards,2,1.443,-0.5569999999999999,7
Player 3,Male,Avalon Lakes Golf Club,Qualifying,1,4,5,Hit,Miss,176-200 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,16,4,4,Hit,Hit,Less than 50 yards,2,1.443,-0.5569999999999999,7
Player 5,Male,Longue Vue Club,Qualifying,14,4,4,Hit,Hit,126-150 yards,2,1.443,-0.5569999999999999,7
Player 5,Male,Longue Vue Club,Qualifying,11,4,4,Hit,Hit,126-150 yards,2,1.443,-0.5569999999999999,7
Player 3,Male,Wigwam Gold Course,Tournament,3,3,5,Not Applicable (PAR 3),Miss,151-175 yards,3,1.443,-1.557,7
Player 8,Male,Indiana Country Club,Qualifying,17,3,3,Not Applicable (PAR 3),Miss,151-175 yards,1,1.443,0.44300000000000006,7
Player 5,Male,Longue Vue Club,Qualifying,14,4,4,Hit,Hit,151-175 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,Sedgefield Country Club - Dye Course,Tournament,3,4,7,Missed,Miss,Less than 50 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,PGA National - Champions,Tournament,11,4,5,Missed,Miss,126-150 yards,1,1.443,0.44300000000000006,7
Player 3,Male,San Destin Resort - Raven,Tournament,15,4,3,Missed,Hit,Less than 50 yards,1,1.443,0.44300000000000006,7
Player 10,Male,Avalon Lakes Golf Club,Qualifying,8,3,4,Not Applicable (PAR 3),Miss,201-225 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,PGA National - Champions,Tournament,2,4,4,Missed,Miss,126-150 yards,1,1.443,0.44300000000000006,7
Player 13,Male,Longue Vue Club,Qualifying,7,4,5,Missed,Miss,76-100 yards,1,1.443,0.44300000000000006,7
Player 5,Male,Indiana Country Club,Qualifying,9,4,4,Missed,Hit,76-100 yards,2,1.443,-0.5569999999999999,7
Player 13,Male,Avalon Lakes Golf Club,Qualifying,14,5,4,Hit,Hit,76-100 yards,1,1.443,0.44300000000000006,7
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,16,4,4,Hit,Hit,Less than 50 yards,2,1.443,-0.5569999999999999,7
Player 2,Male,Avalon Lakes Golf Club,Qualifying,13,4,6,Hit,Miss,151-175 yards,2,1.443,-0.5569999999999999,7
Player 6,Male,Longue Vue Club,Qualifying,15,5,5,Hit,Hit,Less than 50 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,Longue Vue Club,Qualifying,6,4,4,Hit,Hit,101-125 yards,2,1.443,-0.5569999999999999,7
Player 13,Male,Indiana Country Club,Qualifying,10,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,1.443,0.44300000000000006,7
Player 4,Male,Columbus Country Club,Tournament,4,4,4,Missed,Hit,151-175 yards,2,1.443,-0.5569999999999999,7
Player 3,Male,Pinnacle Golf Club,Qualifying,2,5,4,Hit,Hit,201-225 yards,2,1.443,-0.5569999999999999,7
Player 6,Male,Columbus Country Club,Tournament,2,4,4,Hit,Hit,151-175 yards,2,1.443,-0.5569999999999999,7
Player 11,Male,San Destin Resort - Raven,Tournament,5,4,5,Hit,Miss,151-175 yards,2,1.443,-0.5569999999999999,7
